,mean_abs_shap
0,0.00013745153245689587
1,0.0001470653879790665
2,0.00015612808387455846
3,0.00014514298446701638
4,0.00014950725992045308
5,0.00015983384320031162
6,0.00015308415100636705
7,0.00017045619683168142
8,0.00016157850512022134
9,0.00016792245330562221
10,0.00016261404045632064
11,0.0001766490602339269
12,0.00017484427326257452
13,0.00017782139241849875
14,0.00017932112599437699
15,0.00017311008633770424
16,0.00017519876621780294
17,0.00017879960153253919
18,0.0001816778971312203
19,0.0001889384154379366
20,0.00018949212109538362
21,0.00018025063547946112
22,0.00018940069005790114
23,0.0001784484478063258
24,0.00018407758497568786
25,0.00018074189850629687
26,0.00017297081726552196
27,0.00018068187962700307
28,0.0001774725292168562
29,0.0001596815381258544
30,0.000159610522890697
31,0.0001513848802329365
32,0.00015829978322616829
33,0.00016261608918703395
34,0.00015584576259654607
35,0.00015875246407294906
36,0.00015695590342982673
37,0.00017513681436572072
38,0.00016542330882769412
39,0.00016789389716466015
40,0.00017278740736591168
41,0.00017125520788964393
42,0.00017140429498816869
43,0.00015966931141697758
44,0.00015700997741390478
45,0.00015834798652835798
46,0.0001731835392734386
47,0.00016789266827091552
48,0.00016461112310893076
49,0.00017350309188904193
50,0.00018322407094532539
51,0.00016994231945938822
52,0.0001851446285286509
53,0.00018100614146280688
54,0.00019076109552337584
55,0.00018886755171955384
56,0.0001804258687366242
57,0.00019322916204779793
58,0.00018896988789432503
59,0.00018761202323266954
